Actor Node | Step: 0 | Output Action: [ 1.        -0.8636868]
Actor Node | Step: 100 | Output Action: [-1.        -0.9136165]
Actor Node | Step: 200 | Output Action: [1.         0.09117261]
Actor Node | Step: 300 | Output Action: [-1. -1.]
Actor Node | Step: 400 | Output Action: [0.67377865 0.8474538 ]
Actor Node | Step: 500 | Output Action: [ 0.80425245 -1.        ]
Actor Node | Step: 600 | Output Action: [ 0.8277213 -1.       ]
Actor Node | Step: 700 | Output Action: [-0.95821303 -1.        ]
Actor Node | Step: 800 | Output Action: [ 0.06188578 -0.47299388]
Actor Node | Step: 900 | Output Action: [ 1. -1.]
Actor Node | Step: 1000 | Output Action: [0.11822483 0.2695995 ]
Actor Node | Step: 1100 | Output Action: [ 1. -1.]
Actor Node | Step: 1200 | Output Action: [ 0.6340152 -0.9594658]
Actor Node | Step: 1300 | Output Action: [-1. -1.]
Actor Node | Step: 1400 | Output Action: [-1.          0.44665048]
Actor Node | Step: 1500 | Output Action: [ 1. -1.]
Actor Node | Step: 1600 | Output Action: [-0.7244485 -1.       ]
Actor Node | Step: 1700 | Output Action: [-0.9659501  -0.13557032]
Actor Node | Step: 1800 | Output Action: [-0.8898547 -0.7295115]
Actor Node | Step: 1900 | Output Action: [0.4370815  0.91297275]
Actor Node | Step: 2000 | Output Action: [1.        0.5064813]
Actor Node | Step: 2100 | Output Action: [-0.59723413  1.        ]
Actor Node | Step: 2200 | Output Action: [-0.21596062 -0.5988714 ]
Actor Node | Step: 2300 | Output Action: [-1.        -0.9145755]
Actor Node | Step: 2400 | Output Action: [ 0.80701166 -0.48509994]
Actor Node | Step: 2500 | Output Action: [1.         0.52752453]
Actor Node | Step: 2600 | Output Action: [-0.937338   0.6574659]
Actor Node | Step: 2700 | Output Action: [ 0.7944481 -1.       ]
Actor Node | Step: 2800 | Output Action: [ 0.359857  -0.9561997]
Actor Node | Step: 2900 | Output Action: [0.22080843 0.36511332]
Actor Node | Step: 3000 | Output Action: [-0.80367535  0.11602447]
Actor Node | Step: 3100 | Output Action: [ 0.84228367 -0.9759834 ]
Actor Node | Step: 3200 | Output Action: [-1.        -0.5849341]
Actor Node | Step: 3300 | Output Action: [ 0.7467971  -0.30842257]
Actor Node | Step: 3400 | Output Action: [-1.        -0.8313146]
Actor Node | Step: 3500 | Output Action: [-0.50461143 -0.8522332 ]
Actor Node | Step: 3600 | Output Action: [-0.13848309 -0.2678098 ]
Actor Node | Step: 3700 | Output Action: [-0.7242489 -0.9233786]
Actor Node | Step: 3800 | Output Action: [0.27645078 0.04249624]
Actor Node | Step: 3900 | Output Action: [0.51155007 0.5957866 ]
Actor Node | Step: 4000 | Output Action: [-0.83078325  0.03365825]
Actor Node | Step: 4100 | Output Action: [-0.86190563 -0.8098157 ]
Actor Node | Step: 4200 | Output Action: [-0.08326121 -0.63874805]
Actor Node | Step: 4300 | Output Action: [-0.33868515 -0.90164745]
Actor Node | Step: 4400 | Output Action: [ 0.7672388 -1.       ]
Actor Node | Step: 4500 | Output Action: [ 0.56602854 -1.        ]
Actor Node | Step: 4600 | Output Action: [-1.          0.64969766]
Actor Node | Step: 4700 | Output Action: [ 0.34301388 -0.66490966]
Actor Node | Step: 4800 | Output Action: [-0.3353278  -0.58221954]
Actor Node | Step: 4900 | Output Action: [-0.8277048   0.57590485]
Actor Node | Step: 5000 | Output Action: [ 0.52485466 -1.        ]
Actor Node | Step: 5100 | Output Action: [-1.         -0.26554868]
Actor Node | Step: 5200 | Output Action: [ 0.6413102 -0.9604035]
Actor Node | Step: 5300 | Output Action: [ 1.        -0.8441996]
Actor Node | Step: 5400 | Output Action: [-0.21205702  0.34976342]
Actor Node | Step: 5500 | Output Action: [-0.75038266 -0.61124486]
