Learner update | Buffer size: 5001 | Total steps: 5001
Learner update | Buffer size: 5379 | Total steps: 5379
Learner update | Buffer size: 5742 | Total steps: 5742
Learner update | Buffer size: 6214 | Total steps: 6214
Learner update | Buffer size: 6696 | Total steps: 6696
Learner update | Buffer size: 7053 | Total steps: 7053
Learner update | Buffer size: 7480 | Total steps: 7480
Learner update | Buffer size: 7847 | Total steps: 7847
Learner update | Buffer size: 8209 | Total steps: 8209
Learner update | Buffer size: 8610 | Total steps: 8610
Learner update | Buffer size: 8957 | Total steps: 8957
Learner update | Buffer size: 9306 | Total steps: 9306
Learner update | Buffer size: 9675 | Total steps: 9675
Learner update | Buffer size: 10043 | Total steps: 10043
Learner update | Buffer size: 10469 | Total steps: 10469
Learner update | Buffer size: 10823 | Total steps: 10823
Learner update | Buffer size: 11168 | Total steps: 11168
Learner update | Buffer size: 11523 | Total steps: 11523
Learner update | Buffer size: 11891 | Total steps: 11891
Learner update | Buffer size: 12262 | Total steps: 12262
Learner update | Buffer size: 12618 | Total steps: 12618
Learner update | Buffer size: 13062 | Total steps: 13062
Learner update | Buffer size: 13425 | Total steps: 13425
Learner update | Buffer size: 13795 | Total steps: 13795
Learner update | Buffer size: 14151 | Total steps: 14151
Learner update | Buffer size: 14558 | Total steps: 14558
Learner update | Buffer size: 14912 | Total steps: 14912
Learner update | Buffer size: 15262 | Total steps: 15262
Learner update | Buffer size: 15615 | Total steps: 15615
Learner update | Buffer size: 15979 | Total steps: 15979
Learner update | Buffer size: 16333 | Total steps: 16333
Learner update | Buffer size: 16767 | Total steps: 16767
Learner update | Buffer size: 17116 | Total steps: 17116
Learner update | Buffer size: 17469 | Total steps: 17469
Learner update | Buffer size: 17819 | Total steps: 17819
Learner update | Buffer size: 18180 | Total steps: 18180
Learner update | Buffer size: 18565 | Total steps: 18565
Learner update | Buffer size: 18938 | Total steps: 18938
Learner update | Buffer size: 19284 | Total steps: 19284
Learner update | Buffer size: 19637 | Total steps: 19637
Learner update | Buffer size: 20001 | Total steps: 20001
Learner update | Buffer size: 20359 | Total steps: 20359
Learner update | Buffer size: 20770 | Total steps: 20770
Learner update | Buffer size: 21139 | Total steps: 21139
Learner update | Buffer size: 21502 | Total steps: 21502
Learner update | Buffer size: 21935 | Total steps: 21935
Learner update | Buffer size: 22284 | Total steps: 22284
Learner update | Buffer size: 22683 | Total steps: 22683
Learner update | Buffer size: 23030 | Total steps: 23030
Learner update | Buffer size: 23388 | Total steps: 23388
Learner update | Buffer size: 23732 | Total steps: 23732
Learner update | Buffer size: 24110 | Total steps: 24110
Learner update | Buffer size: 24465 | Total steps: 24465
Learner update | Buffer size: 24869 | Total steps: 24869
Learner update | Buffer size: 25229 | Total steps: 25229
Learner update | Buffer size: 25576 | Total steps: 25576
Learner update | Buffer size: 25925 | Total steps: 25925
Learner update | Buffer size: 26292 | Total steps: 26292
Learner update | Buffer size: 26641 | Total steps: 26641
Learner update | Buffer size: 26993 | Total steps: 26993
Learner update | Buffer size: 27354 | Total steps: 27354
Learner update | Buffer size: 27699 | Total steps: 27699
Learner update | Buffer size: 28043 | Total steps: 28043
Learner update | Buffer size: 28404 | Total steps: 28404
Learner update | Buffer size: 28859 | Total steps: 28859
Learner update | Buffer size: 29219 | Total steps: 29219
Learner update | Buffer size: 29564 | Total steps: 29564
Learner update | Buffer size: 29922 | Total steps: 29922
Learner update | Buffer size: 30275 | Total steps: 30275
Learner update | Buffer size: 30632 | Total steps: 30632
Learner update | Buffer size: 31001 | Total steps: 31001
Learner update | Buffer size: 31349 | Total steps: 31349
Learner update | Buffer size: 31701 | Total steps: 31701
Learner update | Buffer size: 32048 | Total steps: 32048
Learner update | Buffer size: 32445 | Total steps: 32445
Learner update | Buffer size: 32813 | Total steps: 32813
Learner update | Buffer size: 33169 | Total steps: 33169
Learner update | Buffer size: 33518 | Total steps: 33518
Learner update | Buffer size: 33870 | Total steps: 33870
Learner update | Buffer size: 34230 | Total steps: 34230
Learner update | Buffer size: 34577 | Total steps: 34577
Learner update | Buffer size: 34938 | Total steps: 34938
Learner update | Buffer size: 35289 | Total steps: 35289
Learner update | Buffer size: 35640 | Total steps: 35640
Learner update | Buffer size: 35992 | Total steps: 35992
Learner update | Buffer size: 36344 | Total steps: 36344
Learner update | Buffer size: 36694 | Total steps: 36694
Learner update | Buffer size: 37049 | Total steps: 37049
Learner update | Buffer size: 37403 | Total steps: 37403
Learner update | Buffer size: 37757 | Total steps: 37757
Learner update | Buffer size: 38111 | Total steps: 38111
Learner update | Buffer size: 38454 | Total steps: 38454
Learner update | Buffer size: 38804 | Total steps: 38804
Learner update | Buffer size: 39157 | Total steps: 39157
Learner update | Buffer size: 39516 | Total steps: 39516
Learner update | Buffer size: 39869 | Total steps: 39869
Learner update | Buffer size: 40215 | Total steps: 40215
Learner update | Buffer size: 40573 | Total steps: 40573
Learner update | Buffer size: 40918 | Total steps: 40918
Learner update | Buffer size: 41275 | Total steps: 41275
Learner update | Buffer size: 41641 | Total steps: 41641
Learner update | Buffer size: 41986 | Total steps: 41986
Learner update | Buffer size: 42340 | Total steps: 42340
Learner update | Buffer size: 42691 | Total steps: 42691
Learner update | Buffer size: 43045 | Total steps: 43045
Learner update | Buffer size: 43403 | Total steps: 43403
Learner update | Buffer size: 43755 | Total steps: 43755
Learner update | Buffer size: 44116 | Total steps: 44116
Learner update | Buffer size: 44477 | Total steps: 44477
Learner update | Buffer size: 44826 | Total steps: 44826
Learner update | Buffer size: 45243 | Total steps: 45243
Learner update | Buffer size: 45583 | Total steps: 45583
Learner update | Buffer size: 45941 | Total steps: 45941
Learner update | Buffer size: 46291 | Total steps: 46291
Learner update | Buffer size: 46643 | Total steps: 46643
Learner update | Buffer size: 46994 | Total steps: 46994
Learner update | Buffer size: 47345 | Total steps: 47345
Learner update | Buffer size: 47697 | Total steps: 47697
Learner update | Buffer size: 48052 | Total steps: 48052
Learner update | Buffer size: 48478 | Total steps: 48478
Learner update | Buffer size: 48841 | Total steps: 48841
Learner update | Buffer size: 49188 | Total steps: 49188
Learner update | Buffer size: 49529 | Total steps: 49529
Learner update | Buffer size: 49882 | Total steps: 49882
Learner update | Buffer size: 50230 | Total steps: 50230
Learner update | Buffer size: 50577 | Total steps: 50577
Learner update | Buffer size: 50944 | Total steps: 50944
Learner update | Buffer size: 51300 | Total steps: 51300
Learner update | Buffer size: 51705 | Total steps: 51705
Learner update | Buffer size: 52055 | Total steps: 52055
Learner update | Buffer size: 52402 | Total steps: 52402
Learner update | Buffer size: 52749 | Total steps: 52749
Learner update | Buffer size: 53102 | Total steps: 53102
Learner update | Buffer size: 53454 | Total steps: 53454
Learner update | Buffer size: 53791 | Total steps: 53791
Learner update | Buffer size: 54171 | Total steps: 54171
Learner update | Buffer size: 54603 | Total steps: 54603
Learner update | Buffer size: 54971 | Total steps: 54971
Learner update | Buffer size: 55352 | Total steps: 55352
Learner update | Buffer size: 55737 | Total steps: 55737
Learner update | Buffer size: 56110 | Total steps: 56110
Learner update | Buffer size: 56695 | Total steps: 56695
Learner update | Buffer size: 57074 | Total steps: 57074
Learner update | Buffer size: 57434 | Total steps: 57434
Learner update | Buffer size: 57813 | Total steps: 57813
Learner update | Buffer size: 58205 | Total steps: 58205
Learner update | Buffer size: 58590 | Total steps: 58590
Learner update | Buffer size: 58951 | Total steps: 58951
Learner update | Buffer size: 59306 | Total steps: 59306
Learner update | Buffer size: 59657 | Total steps: 59657
Learner update | Buffer size: 59999 | Total steps: 59999
Learner update | Buffer size: 60348 | Total steps: 60348
Learner update | Buffer size: 60738 | Total steps: 60738
Learner update | Buffer size: 61133 | Total steps: 61133
Learner update | Buffer size: 61470 | Total steps: 61470
Learner update | Buffer size: 61814 | Total steps: 61814
Learner update | Buffer size: 62164 | Total steps: 62164
Learner update | Buffer size: 62510 | Total steps: 62510
Learner update | Buffer size: 62859 | Total steps: 62859
Learner update | Buffer size: 63215 | Total steps: 63215
Learner update | Buffer size: 63612 | Total steps: 63612
Learner update | Buffer size: 63963 | Total steps: 63963
Learner update | Buffer size: 64312 | Total steps: 64312
Learner update | Buffer size: 64667 | Total steps: 64667
Learner update | Buffer size: 65040 | Total steps: 65040
Learner update | Buffer size: 65404 | Total steps: 65404
Learner update | Buffer size: 65812 | Total steps: 65812
Learner update | Buffer size: 66158 | Total steps: 66158
Learner update | Buffer size: 66509 | Total steps: 66509
Learner update | Buffer size: 66867 | Total steps: 66867
Learner update | Buffer size: 67247 | Total steps: 67247
Learner update | Buffer size: 67647 | Total steps: 67647
Learner update | Buffer size: 68001 | Total steps: 68001
Learner update | Buffer size: 68359 | Total steps: 68359
Learner update | Buffer size: 68708 | Total steps: 68708
Learner update | Buffer size: 69067 | Total steps: 69067
Learner update | Buffer size: 69419 | Total steps: 69419
Learner update | Buffer size: 69769 | Total steps: 69769
Learner update | Buffer size: 70163 | Total steps: 70163
Learner update | Buffer size: 70515 | Total steps: 70515
Learner update | Buffer size: 70953 | Total steps: 70953
Learner update | Buffer size: 71458 | Total steps: 71458
Learner update | Buffer size: 71818 | Total steps: 71818
Learner update | Buffer size: 72169 | Total steps: 72169
Learner update | Buffer size: 72538 | Total steps: 72538
Learner update | Buffer size: 72900 | Total steps: 72900
Learner update | Buffer size: 73255 | Total steps: 73255
Learner update | Buffer size: 73688 | Total steps: 73688
Learner update | Buffer size: 74054 | Total steps: 74054
Learner update | Buffer size: 74416 | Total steps: 74416
Learner update | Buffer size: 74767 | Total steps: 74767
Learner update | Buffer size: 75121 | Total steps: 75121
Learner update | Buffer size: 75519 | Total steps: 75519
Learner update | Buffer size: 75867 | Total steps: 75867
Learner update | Buffer size: 76212 | Total steps: 76212
Learner update | Buffer size: 76562 | Total steps: 76562
Learner update | Buffer size: 76910 | Total steps: 76910
Learner update | Buffer size: 77260 | Total steps: 77260
Learner update | Buffer size: 77605 | Total steps: 77605
Learner update | Buffer size: 77950 | Total steps: 77950
Learner update | Buffer size: 78297 | Total steps: 78297
Learner update | Buffer size: 78708 | Total steps: 78708
Learner update | Buffer size: 79060 | Total steps: 79060
Learner update | Buffer size: 79410 | Total steps: 79410
Learner update | Buffer size: 79758 | Total steps: 79758
Learner update | Buffer size: 80157 | Total steps: 80157
Learner update | Buffer size: 80505 | Total steps: 80505
Learner update | Buffer size: 80849 | Total steps: 80849
Learner update | Buffer size: 81206 | Total steps: 81206
Learner update | Buffer size: 81555 | Total steps: 81555
Learner update | Buffer size: 81907 | Total steps: 81907
Learner update | Buffer size: 82253 | Total steps: 82253
Learner update | Buffer size: 82659 | Total steps: 82659
Learner update | Buffer size: 83006 | Total steps: 83006
Learner update | Buffer size: 83357 | Total steps: 83357
Learner update | Buffer size: 83710 | Total steps: 83710
Learner update | Buffer size: 84055 | Total steps: 84055
Learner update | Buffer size: 84453 | Total steps: 84453
Learner update | Buffer size: 84818 | Total steps: 84818
Learner update | Buffer size: 85169 | Total steps: 85169
Learner update | Buffer size: 85511 | Total steps: 85511
Learner update | Buffer size: 85914 | Total steps: 85914
Learner update | Buffer size: 86261 | Total steps: 86261
Learner update | Buffer size: 86613 | Total steps: 86613
Learner update | Buffer size: 86957 | Total steps: 86957
Learner update | Buffer size: 87300 | Total steps: 87300
Learner update | Buffer size: 87707 | Total steps: 87707
Learner update | Buffer size: 88066 | Total steps: 88066
Learner update | Buffer size: 88421 | Total steps: 88421
Learner update | Buffer size: 88773 | Total steps: 88773
Learner update | Buffer size: 89166 | Total steps: 89166
Learner update | Buffer size: 89505 | Total steps: 89505
Learner update | Buffer size: 89840 | Total steps: 89840
Learner update | Buffer size: 90183 | Total steps: 90183
Learner update | Buffer size: 90529 | Total steps: 90529
Learner update | Buffer size: 90883 | Total steps: 90883
Learner update | Buffer size: 91301 | Total steps: 91301
Learner update | Buffer size: 91639 | Total steps: 91639
Learner update | Buffer size: 91982 | Total steps: 91982
Learner update | Buffer size: 92321 | Total steps: 92321
Learner update | Buffer size: 92721 | Total steps: 92721
Learner update | Buffer size: 93080 | Total steps: 93080
Learner update | Buffer size: 93422 | Total steps: 93422
Learner update | Buffer size: 93761 | Total steps: 93761
Learner update | Buffer size: 94162 | Total steps: 94162
Learner update | Buffer size: 94504 | Total steps: 94504
Learner update | Buffer size: 94852 | Total steps: 94852
Learner update | Buffer size: 95195 | Total steps: 95195
Learner update | Buffer size: 95543 | Total steps: 95543
Learner update | Buffer size: 95945 | Total steps: 95945
