PINN Sim | Step: 0 | Ep: 0 | Reward: 2.3121 | Mass: 2000.5
PINN Sim | Step: 100 | Ep: 7 | Reward: -8.1090 | Mass: 1995.5
PINN Sim | Step: 200 | Ep: 16 | Reward: -10.0000 | Mass: 1979.8
PINN Sim | Step: 300 | Ep: 24 | Reward: -3.8711 | Mass: 1995.6
PINN Sim | Step: 400 | Ep: 31 | Reward: -10.4410 | Mass: 1982.6
PINN Sim | Step: 500 | Ep: 39 | Reward: -9.1887 | Mass: 1999.3
PINN Sim | Step: 600 | Ep: 47 | Reward: -7.3083 | Mass: 1977.9
PINN Sim | Step: 700 | Ep: 55 | Reward: -3.0100 | Mass: 1999.4
PINN Sim | Step: 800 | Ep: 62 | Reward: -2.8856 | Mass: 1989.8
PINN Sim | Step: 900 | Ep: 71 | Reward: -2.6781 | Mass: 2000.3
PINN Sim | Step: 1000 | Ep: 77 | Reward: -1.0873 | Mass: 2000.6
PINN Sim | Step: 1100 | Ep: 86 | Reward: -5.5081 | Mass: 2001.0
PINN Sim | Step: 1200 | Ep: 92 | Reward: -10.0000 | Mass: 1997.4
PINN Sim | Step: 1300 | Ep: 101 | Reward: -2.7557 | Mass: 1999.9
PINN Sim | Step: 1400 | Ep: 109 | Reward: 2.2517 | Mass: 2001.1
PINN Sim | Step: 1500 | Ep: 115 | Reward: -7.2607 | Mass: 1994.4
PINN Sim | Step: 1600 | Ep: 121 | Reward: -4.2980 | Mass: 1999.5
PINN Sim | Step: 1700 | Ep: 127 | Reward: 2.2808 | Mass: 2000.0
PINN Sim | Step: 1800 | Ep: 131 | Reward: -2.3992 | Mass: 1998.5
PINN Sim | Step: 1900 | Ep: 140 | Reward: -4.0631 | Mass: 1991.9
PINN Sim | Step: 2000 | Ep: 146 | Reward: -3.9923 | Mass: 2000.4
PINN Sim | Step: 2100 | Ep: 154 | Reward: -9.7411 | Mass: 1983.2
PINN Sim | Step: 2200 | Ep: 161 | Reward: -2.2669 | Mass: 2001.2
PINN Sim | Step: 2300 | Ep: 166 | Reward: -5.9783 | Mass: 1997.8
PINN Sim | Step: 2400 | Ep: 171 | Reward: -5.9901 | Mass: 1984.3
PINN Sim | Step: 2500 | Ep: 179 | Reward: -2.0068 | Mass: 1999.6
PINN Sim | Step: 2600 | Ep: 187 | Reward: 2.3171 | Mass: 2000.6
PINN Sim | Step: 2700 | Ep: 194 | Reward: -3.4782 | Mass: 2000.1
PINN Sim | Step: 2800 | Ep: 202 | Reward: -3.6835 | Mass: 1999.8
PINN Sim | Step: 2900 | Ep: 211 | Reward: -0.1003 | Mass: 2000.2
PINN Sim | Step: 3000 | Ep: 218 | Reward: -11.7503 | Mass: 1983.9
PINN Sim | Step: 3100 | Ep: 224 | Reward: -4.7455 | Mass: 2000.1
PINN Sim | Step: 3200 | Ep: 232 | Reward: -3.4156 | Mass: 1995.3
PINN Sim | Step: 3300 | Ep: 239 | Reward: -7.1911 | Mass: 1996.8
PINN Sim | Step: 3400 | Ep: 244 | Reward: -8.2067 | Mass: 1990.8
PINN Sim | Step: 3500 | Ep: 254 | Reward: -4.2703 | Mass: 1995.8
PINN Sim | Step: 3600 | Ep: 260 | Reward: -4.8229 | Mass: 1998.0
PINN Sim | Step: 3700 | Ep: 265 | Reward: -6.2952 | Mass: 1997.8
PINN Sim | Step: 3800 | Ep: 271 | Reward: -10.0000 | Mass: 1980.9
PINN Sim | Step: 3900 | Ep: 282 | Reward: -6.2999 | Mass: 2000.5
PINN Sim | Step: 4000 | Ep: 288 | Reward: -8.2515 | Mass: 1999.4
PINN Sim | Step: 4100 | Ep: 295 | Reward: -9.8859 | Mass: 1995.6
PINN Sim | Step: 4200 | Ep: 301 | Reward: -6.8941 | Mass: 1996.7
PINN Sim | Step: 4300 | Ep: 308 | Reward: -10.0000 | Mass: 1949.9
PINN Sim | Step: 4400 | Ep: 315 | Reward: -4.3448 | Mass: 1999.0
PINN Sim | Step: 4500 | Ep: 320 | Reward: -8.6443 | Mass: 2003.0
PINN Sim | Step: 4600 | Ep: 326 | Reward: -4.6765 | Mass: 1985.1
PINN Sim | Step: 4700 | Ep: 335 | Reward: -4.1188 | Mass: 2000.0
PINN Sim | Step: 4800 | Ep: 340 | Reward: -9.6396 | Mass: 1984.9
PINN Sim | Step: 4900 | Ep: 346 | Reward: -5.0492 | Mass: 1993.1
PINN Sim | Step: 5000 | Ep: 356 | Reward: 0.1616 | Mass: 1999.2
PINN Sim | Step: 5100 | Ep: 362 | Reward: -2.7087 | Mass: 1993.4
PINN Sim | Step: 5200 | Ep: 374 | Reward: 0.1441 | Mass: 1999.8
PINN Sim | Step: 5300 | Ep: 380 | Reward: -9.5702 | Mass: 1989.0
PINN Sim | Step: 5400 | Ep: 388 | Reward: -13.6793 | Mass: 1996.3
PINN Sim | Step: 5500 | Ep: 393 | Reward: -1.1058 | Mass: 1994.7
PINN Sim | Step: 5600 | Ep: 397 | Reward: -7.9788 | Mass: 1988.8
PINN Sim | Step: 5700 | Ep: 403 | Reward: 0.2820 | Mass: 1999.4
PINN Sim | Step: 5800 | Ep: 407 | Reward: -6.2906 | Mass: 1961.1
PINN Sim | Step: 5900 | Ep: 412 | Reward: -7.3881 | Mass: 1997.2
PINN Sim | Step: 6000 | Ep: 417 | Reward: -4.6453 | Mass: 1998.5
PINN Sim | Step: 6100 | Ep: 421 | Reward: -4.6223 | Mass: 1987.4
PINN Sim | Step: 6200 | Ep: 425 | Reward: -5.9682 | Mass: 1971.5
PINN Sim | Step: 6300 | Ep: 430 | Reward: -5.7602 | Mass: 1986.5
PINN Sim | Step: 6400 | Ep: 434 | Reward: -3.6471 | Mass: 1998.7
PINN Sim | Step: 6500 | Ep: 438 | Reward: -7.7570 | Mass: 1996.4
PINN Sim | Step: 6600 | Ep: 443 | Reward: 3.3278 | Mass: 2000.7
PINN Sim | Step: 6700 | Ep: 447 | Reward: 0.6964 | Mass: 1999.1
PINN Sim | Step: 6800 | Ep: 450 | Reward: -4.5573 | Mass: 1963.6
PINN Sim | Step: 6900 | Ep: 454 | Reward: -4.9337 | Mass: 1985.0
PINN Sim | Step: 7000 | Ep: 459 | Reward: -2.7295 | Mass: 1994.5
PINN Sim | Step: 7100 | Ep: 464 | Reward: -3.7865 | Mass: 1963.4
PINN Sim | Step: 7200 | Ep: 469 | Reward: -0.6193 | Mass: 1997.2
PINN Sim | Step: 7300 | Ep: 473 | Reward: 2.8218 | Mass: 1999.6
PINN Sim | Step: 7400 | Ep: 478 | Reward: -8.4556 | Mass: 1985.6
PINN Sim | Step: 7500 | Ep: 483 | Reward: -7.8067 | Mass: 1998.8
PINN Sim | Step: 7600 | Ep: 486 | Reward: -9.0380 | Mass: 1986.2
PINN Sim | Step: 7700 | Ep: 491 | Reward: -4.0846 | Mass: 1988.7
PINN Sim | Step: 7800 | Ep: 495 | Reward: -2.8478 | Mass: 1964.1
PINN Sim | Step: 7900 | Ep: 499 | Reward: -6.3402 | Mass: 1985.9
PINN Sim | Step: 8000 | Ep: 503 | Reward: 1.8437 | Mass: 2003.0
PINN Sim | Step: 8100 | Ep: 508 | Reward: 0.4282 | Mass: 1995.3
PINN Sim | Step: 8200 | Ep: 512 | Reward: -2.0929 | Mass: 1980.6
PINN Sim | Step: 8300 | Ep: 516 | Reward: -10.3598 | Mass: 1974.9
PINN Sim | Step: 8400 | Ep: 520 | Reward: -3.2461 | Mass: 1980.1
PINN Sim | Step: 8500 | Ep: 524 | Reward: 2.9278 | Mass: 2000.2
PINN Sim | Step: 8600 | Ep: 527 | Reward: -3.0404 | Mass: 1993.1
PINN Sim | Step: 8700 | Ep: 533 | Reward: -4.5218 | Mass: 1995.7
PINN Sim | Step: 8800 | Ep: 537 | Reward: -10.0000 | Mass: 1992.8
PINN Sim | Step: 8900 | Ep: 544 | Reward: -0.3791 | Mass: 1992.6
PINN Sim | Step: 9000 | Ep: 549 | Reward: 1.4924 | Mass: 2000.7
PINN Sim | Step: 9100 | Ep: 553 | Reward: -5.5834 | Mass: 1994.4
PINN Sim | Step: 9200 | Ep: 557 | Reward: -10.0000 | Mass: 1984.9
PINN Sim | Step: 9300 | Ep: 561 | Reward: -3.1509 | Mass: 1998.3
PINN Sim | Step: 9400 | Ep: 565 | Reward: -10.1445 | Mass: 1984.2
PINN Sim | Step: 9500 | Ep: 571 | Reward: -3.6802 | Mass: 1993.3
PINN Sim | Step: 9600 | Ep: 575 | Reward: 0.8041 | Mass: 1999.0
PINN Sim | Step: 9700 | Ep: 578 | Reward: -4.3822 | Mass: 1958.2
PINN Sim | Step: 9800 | Ep: 581 | Reward: -6.3847 | Mass: 1966.2
PINN Sim | Step: 9900 | Ep: 585 | Reward: -7.0617 | Mass: 1992.7
PINN Sim | Step: 10000 | Ep: 590 | Reward: -7.0580 | Mass: 1974.0
PINN Sim | Step: 10100 | Ep: 595 | Reward: -8.7465 | Mass: 1984.4
PINN Sim | Step: 10200 | Ep: 599 | Reward: 2.0318 | Mass: 1997.9
PINN Sim | Step: 10300 | Ep: 603 | Reward: -4.2428 | Mass: 1997.9
PINN Sim | Step: 10400 | Ep: 607 | Reward: -4.2110 | Mass: 1994.1
PINN Sim | Step: 10500 | Ep: 611 | Reward: -3.2420 | Mass: 1998.0
PINN Sim | Step: 10600 | Ep: 614 | Reward: -10.0000 | Mass: 1961.9
PINN Sim | Step: 10700 | Ep: 619 | Reward: -6.8423 | Mass: 1995.0
PINN Sim | Step: 10800 | Ep: 622 | Reward: -7.7943 | Mass: 1967.0
PINN Sim | Step: 10900 | Ep: 627 | Reward: -6.9262 | Mass: 1984.0
PINN Sim | Step: 11000 | Ep: 631 | Reward: -5.8718 | Mass: 1993.0
PINN Sim | Step: 11100 | Ep: 635 | Reward: 3.3485 | Mass: 2000.1
PINN Sim | Step: 11200 | Ep: 639 | Reward: -2.2822 | Mass: 1987.5
PINN Sim | Step: 11300 | Ep: 643 | Reward: -4.4684 | Mass: 1996.8
PINN Sim | Step: 11400 | Ep: 650 | Reward: 3.6705 | Mass: 2000.2
PINN Sim | Step: 11500 | Ep: 655 | Reward: -3.5317 | Mass: 2000.5
PINN Sim | Step: 11600 | Ep: 659 | Reward: -5.7253 | Mass: 1967.4
PINN Sim | Step: 11700 | Ep: 664 | Reward: -3.9609 | Mass: 1994.8
PINN Sim | Step: 11800 | Ep: 668 | Reward: -4.5781 | Mass: 1996.3
PINN Sim | Step: 11900 | Ep: 672 | Reward: -7.3952 | Mass: 1980.7
PINN Sim | Step: 12000 | Ep: 676 | Reward: -5.8860 | Mass: 1969.3
PINN Sim | Step: 12100 | Ep: 681 | Reward: -2.5071 | Mass: 1990.7
PINN Sim | Step: 12200 | Ep: 685 | Reward: -8.6562 | Mass: 1977.1
PINN Sim | Step: 12300 | Ep: 689 | Reward: -9.9839 | Mass: 1989.5
PINN Sim | Step: 12400 | Ep: 693 | Reward: -8.3592 | Mass: 1988.8
PINN Sim | Step: 12500 | Ep: 698 | Reward: 3.4592 | Mass: 2000.1
PINN Sim | Step: 12600 | Ep: 702 | Reward: 2.5952 | Mass: 2000.7
PINN Sim | Step: 12700 | Ep: 706 | Reward: -0.3182 | Mass: 2001.2
PINN Sim | Step: 12800 | Ep: 711 | Reward: -0.3859 | Mass: 1997.6
PINN Sim | Step: 12900 | Ep: 715 | Reward: -3.0310 | Mass: 1998.4
PINN Sim | Step: 13000 | Ep: 719 | Reward: -1.3947 | Mass: 1993.8
PINN Sim | Step: 13100 | Ep: 722 | Reward: -9.3670 | Mass: 1988.0
PINN Sim | Step: 13200 | Ep: 725 | Reward: -5.8861 | Mass: 1965.3
PINN Sim | Step: 13300 | Ep: 728 | Reward: -6.9828 | Mass: 1943.1
PINN Sim | Step: 13400 | Ep: 732 | Reward: -1.7384 | Mass: 1994.2
PINN Sim | Step: 13500 | Ep: 736 | Reward: -6.7780 | Mass: 1954.2
PINN Sim | Step: 13600 | Ep: 741 | Reward: 3.0871 | Mass: 2001.9
PINN Sim | Step: 13700 | Ep: 743 | Reward: -9.0144 | Mass: 1977.5
PINN Sim | Step: 13800 | Ep: 748 | Reward: -0.0599 | Mass: 2001.3
PINN Sim | Step: 13900 | Ep: 750 | Reward: -4.1035 | Mass: 1988.3
PINN Sim | Step: 14000 | Ep: 755 | Reward: -0.7315 | Mass: 1997.6
PINN Sim | Step: 14100 | Ep: 758 | Reward: -7.6280 | Mass: 1956.3
PINN Sim | Step: 14200 | Ep: 763 | Reward: -0.6721 | Mass: 1993.3
PINN Sim | Step: 14300 | Ep: 767 | Reward: 1.0963 | Mass: 1999.1
PINN Sim | Step: 14400 | Ep: 770 | Reward: -7.6235 | Mass: 1981.1
